test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
testAB,gradient_conf_max,100,73.70951978111249,74.66583650912257,-0.9563167280100753,-6.780341930492102,0.9999999995606693,1.0,False,-0.6780341930492102,0.01
testAB,gradient_input_avg,100,74.00134978961894,74.66583650912257,-0.664486719503614,-4.206131798495005,0.9999714447637692,1.0,False,-0.4206131798495005,0.01
testAB,gradient_input_max,100,74.09753783672254,74.66583650912257,-0.568298672400013,-3.531669537588176,0.9996856001370926,1.0,False,-0.35316695375881757,0.01
testAB,hamming_max,100,74.81588305031903,74.66583650912257,0.15004654119647157,0.9009535090272586,0.18489978615731845,1.0,False,0.09009535090272587,0.01
testAB,hamming_min,100,73.95151492583977,74.66583650912257,-0.7143215832827972,-4.117259663914675,0.9999602397002583,1.0,False,-0.4117259663914675,0.01
testAB,model_grad_avg,100,73.47914302020106,74.66583650912257,-1.186693488921495,-7.687984208970723,0.9999999999944429,1.0,False,-0.7687984208970722,0.01
testAB,model_grad_max,100,73.88221633902778,74.66583650912257,-0.7836201700947867,-5.230617182140561,0.9999995276798646,1.0,False,-0.5230617182140561,0.01
testAB,qbc,100,75.11376034022652,74.66583650912257,0.447923831103967,3.2695008337949334,0.0007412384356828925,0.010377338099560495,True,0.32695008337949333,0.01
testAB,threshold_avg,100,75.33926526859658,74.66583650912257,0.6734287594740245,4.714744955230476,3.9661334736211595e-06,5.5525868630696235e-05,True,0.4714744955230476,0.01
testAB,threshold_max,100,75.26032841309622,74.66583650912257,0.5944919039736483,3.877086836591026,9.513931437729155e-05,0.0013319504012820817,True,0.3877086836591026,0.01
testAG,aligns,100,76.60449208186058,76.29369827048873,0.31079381137186873,1.0931550381005164,0.13848929657325823,1.0,False,0.10931550381005162,0.01
testAG,grad01_avg,100,75.9230112902169,76.29369827048873,-0.37068698027181923,-1.4337872321939924,0.9226080492854523,1.0,False,-0.14337872321939923,0.01
testAG,grad01_max,100,75.7599215722707,76.29369827048873,-0.5337766982180273,-2.1916096592708922,0.9846238614718446,1.0,False,-0.21916096592708925,0.01
testAG,gradient_conf_avg,100,75.78301543383108,76.29369827048873,-0.5106828366576447,-2.2208419330228355,0.9856795169496968,1.0,False,-0.22208419330228354,0.01
testAG,gradient_conf_max,100,75.5711205798771,76.29369827048873,-0.7225776906116324,-2.9813890441729827,0.998194204832615,1.0,False,-0.2981389044172983,0.01
testAG,gradient_input_avg,100,76.01645881734186,76.29369827048873,-0.2772394531468622,-1.0371866340871505,0.8489122022126729,1.0,False,-0.10371866340871504,0.01
testAG,gradient_input_max,100,75.96198879013672,76.29369827048873,-0.33170948035201275,-1.1474539814637268,0.8730202801203926,1.0,False,-0.11474539814637269,0.01
testAG,hamming_max,100,76.05044812405498,76.29369827048873,-0.24325014643374318,-0.8867764300142662,0.8113257879726561,1.0,False,-0.08867764300142664,0.01
testAG,hamming_min,100,76.25716241888159,76.29369827048873,-0.036535851607116004,-0.12427419667465901,0.5493249212957753,1.0,False,-0.0124274196674659,0.01
testAG,model_grad_avg,100,75.63348557581644,76.29369827048873,-0.660212694672276,-2.5861387405782796,0.994419372584673,1.0,False,-0.258613874057828,0.01
testAG,model_grad_max,100,75.72646346489242,76.29369827048873,-0.5672348055963166,-2.093381293175297,0.9805645624527565,1.0,False,-0.20933812931752974,0.01
testAG,qbc,100,76.99409688966557,76.29369827048873,0.7003986191768478,2.9491226165468456,0.0019881746250075927,0.027834444750106296,True,0.29491226165468454,0.01
testAG,threshold_avg,100,77.1979935248434,76.29369827048873,0.9042952543546793,3.706251090362091,0.00017339033466509646,0.0024274646853113505,True,0.37062510903620915,0.01
testAG,threshold_max,100,77.20361820164902,76.29369827048873,0.9099199311602958,3.7138960128149776,0.00016885813600846973,0.0023640139041185763,True,0.3713896012814977,0.01
test,aligns,100,69.73720739512352,69.5004405976342,0.23676679748932217,0.8677293188460118,0.19382051363671382,1.0,False,0.08677293188460118,0.02
test,grad01_avg,100,69.30559280515241,69.5004405976342,-0.19484779248178172,-0.7568860943071604,0.7745421656900372,1.0,False,-0.07568860943071604,0.02
test,grad01_max,100,69.20932453273677,69.5004405976342,-0.2911160648974004,-1.1647077784854416,0.8765318988938149,1.0,False,-0.11647077784854416,0.02
test,gradient_conf_avg,100,69.48487154126961,69.5004405976342,-0.015569056364577918,-0.05945621317584572,0.5236457030463688,1.0,False,-0.005945621317584572,0.02
